Occupancy Name,Address,NFF GPM,Flow Available,OVAP Score
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #6,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #12,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #7,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #8,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #9,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #10,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #13,,,
,"Peoria, IL 61614",,,
Brasky's,9901 N Knoxville AVE,906,Sufficient,34.34
,"Peoria, IL 61603",,,
Brian Cohen MDSC,2127 SW Jefferson AVE,1082,Sufficient,22.49
,"Peoria, IL 61605",,,
Brow Art 23,2200 W War Memorial DR,223,Sufficient,30.56
,#CU12,,,
,"Peoria, IL 61613",,,
Buckle,2200 W War Memorial DR,532,Sufficient,31.66
,#BU 02A,,,
,"Peoria, IL 61613",,,
Buffalo Wild Wings Grill & Bar,5121 W American Prairie DR,509,Sufficient,28.6
,"Peoria, IL 61615",,,
Build a Bear Workshop,2200 W War Memorial DR,331,Sufficient,29.46
,#A111A,,,
,"Peoria, IL 61613",,,
Bump Boxes,7719 N Pioneer LN,3039,Sufficient,38.5
,"Peoria, IL 61614",,,
Burger Barge III,714 W Lake AVE,739,Sufficient,27.5
,"Peoria, IL 61614",,,
Burke Engineering,114 State ST,279,Sufficient,31.9
,"Peoria, IL 61602",,,
Bushwacker,4700 N University ST,1298,Insufficient,18.67
,"Peoria, IL 61614",,,
C&L Vacuum,2411 N Knoxville AVE,414,Sufficient,25.3
,"Peoria, IL 61603",,,
C'est Ally Nail & Spa,10405 N Centerway ST,483,Sufficient,28.6
,#B,,,
,"Peoria, IL 61615",,,
C.T. Gabert Construction,1323 SW Adams ST,2160,Insufficient,0
,"Peoria, IL 61605",,,
Cameron's Furniture,1311 SW Adams ST,0,Insufficient,0
,"Peoria, IL 61605",,,
Camp Bow Wow,1623 W Pioneer PKY,880,Sufficient,25.05
,"Peoria, IL 61615",,,
Camphill Distribution,1620 W Chanute RD,882,Sufficient,30.68
,#D,,,
,"Peoria, IL 61615",,,
Campustown Liquors,1200 W Main ST,644,Sufficient,33
,"Peoria, IL 61606",,,
Candlewood Suites,5300 W Landens WAY,4185,Sufficient,34.1
,"Peoria, IL 61615",,,
Car Wise,1600 W Pioneer PKY,821,Sufficient,20.53
,"Peoria, IL 61615",,,
Caribbean Tan & Salon,1215 W Main ST,611,Insufficient,31.04
,"Peoria, IL 61606",,,
Carriage Hills Apartments,3400 N Knoxville AVE,1708,Insufficient,34.33
,Building #A,,,
,"Peoria, IL 61603",,,
Carriage Hills Apartments,3400 N Knoxville AVE,1708,Insufficient,32.33
,Building #B,,,
,"Peoria, IL 61603",,,
Carriage Hills Apartments,3400 N Knoxville AVE,1708,Insufficient,35.33
,Building #C,,,
,"Peoria, IL 61603",,,
Carriage Hills Apartments,3400 N Knoxville AVE,1708,Insufficient,33.33
,Building #D,,,
,"Peoria, IL 61603",,,
Carriage Hills Apartments,3400 N Knoxville AVE,1708,Insufficient,33.33
,Building #E,,,
,"Peoria, IL 61603",,,
